40
0	36	16	94	82	100	23	11	74	65	90	67	33	49	40	17	32	20	44	36	16	2	90	41	4	48	15	62	44	80	36	3	16	67	97	58	53	41	15	56
36	0	12	16	24	34	49	24	36	65	77	55	72	2	59	39	11	96	39	88	81	15	73	36	63	53	61	12	74	43	10	93	60	95	20	34	36	91	32	8
16	12	0	45	25	31	16	61	36	32	39	26	5	26	40	94	71	93	1	35	4	50	55	93	33	53	52	35	96	82	29	3	8	7	13	50	76	86	91	76
94	16	45	0	48	10	63	19	48	14	100	62	66	97	36	24	58	95	21	1	84	69	6	64	82	23	17	66	51	26	51	48	83	4	77	39	40	62	30	55
82	24	25	48	0	56	2	40	57	4	92	64	52	8	82	48	74	24	6	8	52	94	11	92	31	61	60	59	17	98	24	53	15	61	47	88	44	82	92	13
100	34	31	10	56	0	87	24	83	70	56	98	100	55	20	48	37	1	53	97	49	28	36	14	42	68	22	57	60	39	29	55	82	14	84	98	92	78	88	71
23	49	16	63	2	87	0	62	64	24	60	84	99	51	53	22	61	69	68	18	77	19	54	92	71	7	52	61	4	72	41	7	11	17	28	87	44	64	62	80
11	24	61	19	40	24	62	0	24	92	9	4	22	39	12	12	57	54	78	73	33	50	32	56	90	33	26	90	91	67	73	85	47	73	52	69	62	19	75	78
74	36	36	48	57	83	64	24	0	18	13	51	76	7	25	58	84	52	10	82	7	6	32	98	5	75	74	76	48	24	72	73	36	83	59	97	1	96	53	34
65	65	32	14	4	70	24	92	18	0	19	8	85	8	89	82	47	70	6	2	52	19	91	47	64	74	65	38	24	54	6	71	74	2	10	74	34	52	24	54
90	77	39	100	92	56	60	9	13	19	0	2	61	28	20	58	25	35	56	10	59	33	64	79	18	66	53	48	85	53	81	89	60	17	77	93	56	72	36	4
67	55	26	62	64	98	84	4	51	8	2	0	18	49	89	99	82	48	42	30	30	17	44	50	72	81	16	41	59	16	35	15	58	76	10	59	54	100	33	17
33	72	5	66	52	100	99	22	76	85	61	18	0	35	17	50	92	52	65	64	6	26	52	20	51	6	12	78	72	26	87	69	1	42	96	9	65	27	35	85
49	2	26	97	8	55	51	39	7	8	28	49	35	0	4	75	20	8	30	6	62	86	70	33	63	23	57	61	100	64	80	91	3	67	74	77	83	92	71	55
40	59	40	36	82	20	53	12	25	89	20	89	17	4	0	7	44	26	22	85	28	14	89	49	49	16	11	82	83	58	24	80	55	14	87	75	14	32	39	47
17	39	94	24	48	48	22	12	58	82	58	99	50	75	7	0	94	26	81	20	87	47	37	52	14	30	49	7	25	92	10	94	80	27	24	7	34	60	72	91
32	11	71	58	74	37	61	57	84	47	25	82	92	20	44	94	0	55	39	44	53	32	33	27	43	91	27	65	75	45	5	81	12	41	1	82	36	91	22	7
