25
0	10	65	52	83	20	78	79	93	44	7	50	80	46	41	88	99	84	14	90	27	82	46	95	55
10	0	28	49	33	10	72	95	63	62	23	52	57	81	95	69	92	32	82	34	3	78	9	26	97
65	28	0	70	99	19	28	38	12	71	36	59	62	24	40	23	91	70	90	43	83	98	45	81	35
52	49	70	0	52	8	23	82	94	9	69	39	8	79	75	35	96	20	66	48	27	5	100	83	83
83	33	99	52	0	19	30	86	46	30	70	72	87	88	66	85	44	68	71	89	8	92	1	44	57
20	10	19	8	19	0	96	98	60	96	7	53	18	23	38	1	41	100	15	26	96	97	84	100	46
78	72	28	23	30	96	0	72	90	73	88	11	64	20	25	30	15	51	61	52	22	68	20	3	29
79	95	38	82	86	98	72	0	32	8	52	87	63	34	78	8	64	21	14	40	28	76	99	62	1
93	63	12	94	46	60	90	32	0	48	3	44	89	60	49	76	14	53	61	54	17	9	33	66	30
44	62	71	9	30	96	73	8	48	0	72	17	92	22	1	53	14	19	89	69	74	59	10	85	17
7	23	36	69	70	7	88	52	3	72	0	100	30	82	40	3	42	82	41	48	48	27	11	52	62
50	52	59	39	72	53	11	87	44	17	100	0	66	29	60	54	73	45	61	95	93	85	28	93	50
80	57	62	8	87	18	64	63	89	92	30	66	0	42	36	72	79	71	14	25	62	71	97	25	15
46	81	24	79	88	23	20	34	60	22	82	29	42	0	83	30	66	16	31	53	28	50	72	97	60
41	95	40	75	66	38	25	78	49	1	40	60	36	83	0	94	57	64	79	66	76	79	48	61	28
88	69	23	35	85	1	30	8	76	53	3	54	72	30	94	0	12	35	91	76	48	21	38	10	12
99	92	91	96	44	41	15	64	14	14	42	73	79	66	57	12	0	47	98	41	98	56	39	1	78
84	32	70	20	68	100	51	21	53	19	82	45	71	16	64	35	47	0	33	97	13	2	28	31	97
14	82	90	66	71	15	61	14	61	89	41	61	14	31	79	91	98	33	0	28	29	72	48	23	35
90	34	43	48	89	26	52	40	54	69	48	95	25	53	66	76	41	97	28	0	22	95	11	77	3
27	3	83	27	8	96	22	28	17	74	48	93	62	28	76	48	98	13	29	22	0	20	58	35	22
82	78	98	5	92	97	68	76	9	59	27	85	71	50	79	21	56	2	72	95	20	0	49	27	24
46	9	45	100	1	84	20	99	33	10	11	28	97	72	48	38	39	28	48	11	58	49	0	45	93
95	26	81	83	44	100	3	62	66	85	52	93	25	97	61	10	1	31	23	77	35	27	45	0	12
55	97	35	83	57	46	29	1	30	17	62	50	15	60	28	12	78	97	35	3	22	24	93	12	0
