45
0	43	45	54	73	62	77	36	20	20	62	71	21	59	64	34	40	20	26	97	29	65	84	3	65	86	65	43	27	97	70	4	22	61	99	50	4	52	9	14	66	57	21	33	43
43	0	45	64	24	45	35	44	2	7	37	78	94	60	77	12	75	68	6	29	77	40	20	42	18	50	57	12	25	35	48	55	13	48	58	97	69	87	28	3	98	31	4	35	30
45	45	0	73	55	71	92	85	46	33	80	4	76	96	53	6	51	25	11	59	98	77	62	10	47	74	96	82	73	36	82	41	16	94	42	34	24	18	95	6	30	13	9	44	56
54	64	73	0	66	51	85	60	61	95	66	16	59	60	12	16	80	73	47	83	99	77	53	10	73	6	37	59	52	11	74	50	10	41	62	26	59	64	9	30	39	74	16	75	60
73	24	55	66	0	15	22	53	6	17	60	38	3	35	36	42	25	47	8	41	94	60	15	90	36	63	85	16	29	13	55	94	20	94	2	58	32	32	24	97	21	51	70	25	21
62	45	71	51	15	0	4	72	20	52	96	42	82	27	26	4	49	10	71	45	31	60	41	15	71	71	42	82	47	20	38	82	14	96	16	22	98	44	93	26	8	90	97	27	34
77	35	92	85	22	4	0	88	90	97	52	92	46	70	11	25	52	62	67	33	54	13	96	88	30	80	82	80	90	94	47	61	5	46	53	50	6	55	53	5	23	67	71	20	7
36	44	85	60	53	72	88	0	52	31	88	51	50	72	90	7	20	27	95	91	78	70	28	71	95	1	43	40	97	24	85	60	14	62	65	94	100	2	31	86	87	37	36	97	84
20	2	46	61	6	20	90	52	0	67	97	24	89	65	86	5	92	34	2	63	70	24	27	23	89	77	23	34	92	55	8	97	69	93	44	27	31	79	46	82	85	16	83	73	42
20	7	33	95	17	52	97	31	67	0	37	68	48	47	77	3	80	94	15	1	41	84	88	63	89	45	62	71	58	90	76	81	23	44	74	89	91	19	71	87	35	34	81	70	25
62	37	80	66	60	96	52	88	97	37	0	89	65	9	88	70	80	12	46	25	49	45	24	89	84	78	29	36	38	38	37	14	78	22	71	8	35	54	65	80	59	12	3	75	40
71	78	4	16	38	42	92	51	24	68	89	0	72	22	8	57	32	47	71	75	19	87	12	25	8	56	85	88	56	49	97	83	64	30	51	2	36	35	2	80	69	42	50	39	15
21	94	76	59	3	82	46	50	89	48	65	72	0	71	79	23	91	51	64	36	6	2	31	88	2	49	75	18	43	84	50	16	88	5	28	46	56	89	15	52	41	67	68	14	71
59	60	96	60	35	27	70	72	65	47	9	22	71	0	62	19	26	6	90	95	82	4	6	60	54	88	44	84	8	86	9	23	10	58	27	6	32	50	56	67	51	90	25	3	5
64	77	53	12	36	26	11	90	86	77	88	8	79	62	0	12	35	100	14	56	60	68	90	49	46	49	100	21	39	78	57	46	5	69	66	97	88	31	12	91	3	74	25	61	64
34	12	6	16	42	4	25	7	5	3	70	57	23	19	12	0	78	3	17	43	54	6	7	86	7	19	85	14	12	76	77	60	36	87	54	94	9	85	50	8	34	21	95	47	48
40	75	51	80	25	49	52	20	92	80	80	32	91	26	35	78	0	25	97	25	28	89	6	16	17	92	15	83	80	83	63	83	95	66	57	95	53	100	19	46	58	78	20	72	59
20	68	25	73	47	10	62	27	34	94	12	47	51	6	100	3	25	0	17	81	47	37	72	24	75	75	64	76	97	89	30	97	100	7	48	75	100	44	28	89	26	7	57	88	44
26	6	11	47	8	71	67	95	2	15	46	71	64	90	14	17	97	17	0	63	88	36	55	34	42	14	39	85	90	98	42	54	10	27	3	2	81	93	44	24	67	22	25	37	84
97	29	59	83	41	45	33	91	63	1	25	75	36	95	56	43	25	81	63	0	52	99	25	70	50	45	10	26	13	62	68	25	61	75	36	71	96	54	49	67	2	68	20	13	98
29	77	98	99	94	31	54	78	70	41	49	19	6	82	60	54	28	47	88	52	0	51	15	80	76	31	17	100	23	49	15	39	69	20	10	77	60	28	19	18	35	48	99	47	22
65	40	77	77	60	60	13	70	24	84	45	87	2	4	68	6	89	37	36	99	51	0	96	92	61	50	67	7	25	32	17	80	79	84	32	60	38	61	13	69	79	80	17	11	29
84	20	62	53	15	41	96	28	27	88	24	12	31	6	90	7	6	72	55	25	15	96	0	44	45	28	20	20	29	16	81	99	15	67	34	62	20	92	91	41	35	99	43	35	59
3	42	10	10	90	15	88	71	23	63	89	25	88	60	49	86	16	24	34	70	80	92	44	0	5	99	59	17	59	63	27	29	88	70	54	37	51	57	39	70	60	47	11	88	38
65	18	47	73	36	71	30	95	89	89	84	8	2	54	46	7	17	75	42	50	76	61	45	5	0	55	35	28	69	49	58	92	73	6	24	49	94	54	24	20	41	51	96	63	55
86	50	74	6	63	71	80	1	77	45	78	56	49	88	49	19	92	75	14	45	31	50	28	99	55	0	60	38	57	97	67	24	100	40	15	68	18	85	72	41	34	32	12	10	36
65	57	96	37	85	42	82	43	23	62	29	85	75	44	100	85	15	64	39	10	17	67	20	59	35	60	0	12	50	20	20	34	13	30	3	87	51	76	99	55	26	31	48	48	15
43	12	82	59	16	82	80	40	34	71	36	88	18	84	21	14	83	76	85	26	100	7	20	17	28	38	12	0	84	90	26	94	63	37	5	25	91	26	39	60	79	12	14	48	99
27	25	73	52	29	47	90	97	92	58	38	56	43	8	39	12	80	97	90	13	23	25	29	59	69	57	50	84	0	3	61	18	98	48	18	63	70	65	96	70	30	18	46	81	63
97	35	36	11	13	20	94	24	55	90	38	49	84	86	78	76	83	89	98	62	49	32	16	63	49	97	20	90	3	0	60	56	63	87	37	8	2	6	5	84	76	5	55	21	60
70	48	82	74	55	38	47	85	8	76	37	97	50	9	57	77	63	30	42	68	15	17	81	27	58	67	20	26	61	60	0	12	3	80	50	82	62	68	3	48	2	19	26	18	4
4	55	41	50	94	82	61	60	97	81	14	83	16	23	46	60	83	97	54	25	39	80	99	29	92	24	34	94	18	56	12	0	73	1	85	71	33	72	18	75	87	82	45	82	22
