50
0	56	70	75	90	52	84	18	79	31	70	79	97	11	14	98	57	88	23	20	92	59	71	26	55	62	32	41	94	1	74	8	65	49	71	35	7	75	98	62	6	40	16	65	94	86	20	74	49	97
56	0	20	39	67	67	48	90	100	56	75	62	59	78	92	93	99	100	15	67	31	54	15	84	33	40	26	88	80	58	99	26	100	52	20	90	98	33	85	12	36	50	95	2	32	4	27	33	44	17
70	20	0	65	59	50	51	5	75	49	69	25	70	79	15	21	4	76	4	26	18	36	23	8	63	40	3	99	20	91	50	60	12	42	28	65	48	48	3	21	19	52	77	77	78	84	45	44	22	31
75	39	65	0	27	83	82	68	71	40	75	41	96	7	24	39	22	63	75	55	12	96	13	45	9	14	33	27	41	17	92	45	72	52	55	64	43	78	82	44	50	23	76	77	97	45	31	47	62	63
90	67	59	27	0	25	90	38	46	78	58	47	89	88	75	85	93	1	87	24	18	8	90	30	36	67	83	100	58	23	74	90	75	4	21	19	81	30	35	62	46	48	69	23	9	24	43	57	22	8
52	67	50	83	25	0	31	100	41	76	75	86	89	28	65	33	36	98	38	51	37	83	64	40	92	87	65	88	65	70	28	51	92	38	94	89	32	57	59	33	11	87	66	59	12	69	38	29	6	84
84	48	51	82	90	31	0	91	3	12	20	44	47	65	50	34	12	83	36	13	81	18	89	10	68	54	9	92	27	69	94	59	55	54	38	50	7	39	50	4	28	20	80	61	26	24	74	81	13	47
18	90	5	68	38	100	91	0	51	74	29	20	65	18	31	97	99	79	58	57	79	66	96	34	28	81	52	36	34	29	24	88	70	83	70	16	68	22	25	53	62	21	21	58	83	29	74	77	39	71
79	100	75	71	46	41	3	51	0	69	99	20	79	60	17	78	7	56	12	31	69	76	52	79	42	43	13	10	30	66	98	97	32	47	47	86	37	73	80	58	47	6	47	89	10	41	70	69	40	47
31	56	49	40	78	76	12	74	69	0	84	66	74	24	54	2	35	9	48	99	51	77	90	61	50	37	28	78	17	60	37	23	57	19	75	85	84	56	6	95	57	53	16	94	11	91	44	15	24	36
70	75	69	75	58	75	20	29	99	84	0	73	35	54	82	76	5	19	53	96	27	93	22	18	50	12	29	50	36	7	8	9	30	64	73	3	59	64	90	78	74	74	27	31	43	55	96	77	53	10
79	62	25	41	47	86	44	20	20	66	73	0	64	40	62	73	29	32	68	24	24	62	66	68	19	2	90	70	45	93	37	61	54	21	12	46	59	59	42	83	17	88	82	33	41	72	6	77	71	66
97	59	70	96	89	89	47	65	79	74	35	64	0	79	5	63	56	24	76	63	17	1	48	75	28	69	19	65	44	4	98	76	80	48	52	95	46	74	27	94	95	76	46	61	9	34	63	12	71	25
11	78	79	7	88	28	65	18	60	24	54	40	79	0	49	37	95	73	68	4	37	50	64	27	60	38	24	58	47	38	92	3	26	92	96	97	33	18	66	62	96	94	74	33	67	73	93	89	84	58
14	92	15	24	75	65	50	31	17	54	82	62	5	49	0	4	11	11	9	9	66	21	51	82	21	64	15	77	1	13	9	77	31	71	74	70	60	32	97	46	63	98	73	90	87	35	82	59	14	28
98	93	21	39	85	33	34	97	78	2	76	73	63	37	4	0	64	14	25	54	18	30	20	30	79	73	64	31	11	40	48	85	80	47	57	64	94	19	74	6	88	78	50	45	87	32	27	88	69	56
57	99	4	22	93	36	12	99	7	35	5	29	56	95	11	64	0	35	60	63	91	13	98	27	50	26	11	61	18	68	70	30	95	10	14	81	66	74	23	74	72	24	50	60	93	43	56	100	25	77
88	100	76	63	1	98	83	79	56	9	19	32	24	73	11	14	35	0	46	54	17	58	15	10	38	1	26	99	47	46	83	18	32	63	75	31	89	6	74	20	71	31	89	98	9	50	80	95	63	91
23	15	4	75	87	38	36	58	12	48	53	68	76	68	9	25	60	46	0	61	36	31	52	50	48	40	30	87	82	60	76	72	32	20	12	85	63	25	87	75	5	25	88	14	76	12	12	67	56	92
20	67	26	55	24	51	13	57	31	99	96	24	63	4	9	54	63	54	61	0	64	29	68	87	94	94	86	80	1	51	37	87	52	4	50	9	73	52	5	47	2	97	73	97	63	82	14	66	57	18
92	31	18	12	18	37	81	79	69	51	27	24	17	37	66	18	91	17	36	64	0	47	50	74	77	51	68	54	68	63	62	26	9	8	94	43	39	18	62	49	59	34	53	69	100	28	99	39	93	9
59	54	36	96	8	83	18	66	76	77	93	62	1	50	21	30	13	58	31	29	47	0	35	20	56	54	60	83	77	32	58	70	43	15	42	100	98	16	43	17	66	40	22	29	99	1	77	80	42	3
71	15	23	13	90	64	89	96	52	90	22	66	48	64	51	20	98	15	52	68	50	35	0	59	26	82	39	15	6	58	31	90	72	74	3	10	52	20	70	88	9	26	60	64	77	57	46	19	89	36
26	84	8	45	30	40	10	34	79	61	18	68	75	27	82	30	27	10	50	87	74	20	59	0	70	86	29	96	89	21	82	62	58	2	55	31	25	92	13	52	100	70	77	55	21	52	19	76	48	83
55	33	63	9	36	92	68	28	42	50	50	19	28	60	21	79	50	38	48	94	77	56	26	70	0	69	79	66	28	25	72	18	43	46	65	11	13	88	88	66	88	43	68	45	33	58	38	4	19	96
62	40	40	14	67	87	54	81	43	37	12	2	69	38	64	73	26	1	40	94	51	54	82	86	69	0	91	19	34	55	37	5	62	35	21	87	41	85	58	96	82	64	7	83	75	8	85	74	34	18
32	26	3	33	83	65	9	52	13	28	29	90	19	24	15	64	11	26	30	86	68	60	39	29	79	91	0	89	58	31	19	97	10	5	92	69	13	18	24	40	62	24	24	98	94	34	4	44	72	62
41	88	99	27	100	88	92	36	10	78	50	70	65	58	77	31	61	99	87	80	54	83	15	96	66	19	89	0	87	70	51	100	29	57	2	30	95	33	96	85	87	36	87	73	20	80	77	69	60	89
94	80	20	41	58	65	27	34	30	17	36	45	44	47	1	11	18	47	82	1	68	77	6	89	28	34	58	87	0	63	29	88	47	30	63	4	59	23	15	87	27	23	26	25	75	50	2	27	37	51
1	58	91	17	23	70	69	29	66	60	7	93	4	38	13	40	68	46	60	51	63	32	58	21	25	55	31	70	63	0	76	79	36	49	1	38	45	81	69	73	66	32	1	47	63	3	100	91	70	99
74	99	50	92	74	28	94	24	98	37	8	37	98	92	9	48	70	83	76	37	62	58	31	82	72	37	19	51	29	76	0	65	40	78	30	75	18	55	67	4	39	56	44	34	95	53	94	67	8	71
