20
0	4	36	92	25	59	92	55	79	89	35	46	92	37	16	72	91	84	31	97
4	0	45	51	52	33	94	91	31	84	27	54	93	61	25	29	50	65	29	51
36	45	0	74	34	46	41	37	3	52	88	98	38	2	87	47	59	58	14	35
92	51	74	0	70	7	73	92	12	28	21	72	66	63	43	62	71	41	3	32
25	52	34	70	0	79	8	36	75	87	53	21	25	35	18	23	54	58	67	84
59	33	46	7	79	0	86	80	53	35	6	98	6	41	49	86	84	52	53	1
92	94	41	73	8	86	0	12	85	54	53	94	20	34	38	66	10	33	75	1
55	91	37	92	36	80	12	0	78	35	5	22	64	16	44	82	18	44	87	50
79	31	3	12	75	53	85	78	0	2	7	33	51	78	6	91	58	34	15	52
89	84	52	28	87	35	54	35	2	0	77	95	5	6	65	96	20	63	26	14
35	27	88	21	53	6	53	5	7	77	0	11	60	8	28	34	37	28	16	50
46	54	98	72	21	98	94	22	33	95	11	0	1	82	35	87	8	15	66	14
92	93	38	66	25	6	20	64	51	5	60	1	0	22	98	58	16	65	83	77
37	61	2	63	35	41	34	16	78	6	8	82	22	0	21	21	53	27	3	35
16	25	87	43	18	49	38	44	6	65	28	35	98	21	0	49	56	45	92	41
72	29	47	62	23	86	66	82	91	96	34	87	58	21	49	0	18	68	27	5
91	50	59	71	54	84	10	18	58	20	37	8	16	53	56	18	0	73	77	78
84	65	58	41	58	52	33	44	34	63	28	15	65	27	45	68	73	0	87	37
31	29	14	3	67	53	75	87	15	26	16	66	83	3	92	27	77	87	0	21
97	51	35	32	84	1	1	50	52	14	50	14	77	35	41	5	78	37	21	0
