30
0	20	42	77	37	64	58	49	11	11	63	6	13	27	44	28	46	2	22	82	97	60	21	71	99	69	57	23	69	83
20	0	14	66	36	48	73	12	75	62	45	29	13	62	96	35	50	6	33	17	6	87	94	46	59	26	89	83	89	46
42	14	0	21	30	100	62	34	76	62	27	68	23	76	98	80	87	98	35	39	73	92	48	85	14	75	3	42	47	15
77	66	21	0	62	22	93	55	38	34	51	100	37	92	61	33	19	7	67	98	18	44	74	38	74	52	23	87	62	92
37	36	30	62	0	26	77	100	5	92	66	98	52	96	64	59	69	26	7	19	81	61	57	99	54	72	47	36	90	67
64	48	100	22	26	0	34	72	19	95	62	90	18	57	65	45	9	34	19	95	11	13	49	78	53	37	3	16	70	74
58	73	62	93	77	34	0	99	91	60	73	2	99	68	30	13	35	76	41	57	9	94	100	86	54	64	92	94	53	6
49	12	34	55	100	72	99	0	55	64	43	32	1	51	3	88	54	53	67	98	82	60	19	66	86	99	20	10	18	20
11	75	76	38	5	19	91	55	0	60	25	71	17	91	35	35	60	97	10	23	67	51	36	85	24	86	78	45	46	20
11	62	62	34	92	95	60	64	60	0	60	53	88	72	14	15	9	32	67	26	16	81	83	9	61	69	74	31	92	21
63	45	27	51	66	62	73	43	25	60	0	3	76	6	16	87	55	5	72	11	16	59	84	22	39	6	34	7	90	22
6	29	68	100	98	90	2	32	71	53	3	0	25	5	4	16	78	12	47	82	18	85	27	78	19	97	63	55	100	19
13	13	23	37	52	18	99	1	17	88	76	25	0	87	22	33	98	95	74	80	16	43	38	49	76	3	79	5	41	33
27	62	76	92	96	57	68	51	91	72	6	5	87	0	72	53	88	40	76	15	60	76	87	13	76	60	88	13	60	34
44	96	98	61	64	65	30	3	35	14	16	4	22	72	0	51	38	52	65	62	12	58	3	93	57	22	41	46	54	75
28	35	80	33	59	45	13	88	35	15	87	16	33	53	51	0	64	13	48	63	65	96	89	6	37	62	97	27	62	37
46	50	87	19	69	9	35	54	60	9	55	78	98	88	38	64	0	85	20	52	9	89	93	99	27	65	19	67	54	98
2	6	98	7	26	34	76	53	97	32	5	12	95	40	52	13	85	0	53	13	25	42	30	62	82	94	52	94	25	14
22	33	35	67	7	19	41	67	10	67	72	47	74	76	65	48	20	53	0	57	10	59	58	8	89	60	54	66	40	27
82	17	39	98	19	95	57	98	23	26	11	82	80	15	62	63	52	13	57	0	23	73	96	34	37	56	88	50	13	8
97	6	73	18	81	11	9	82	67	16	16	18	16	60	12	65	9	25	10	23	0	87	3	20	79	26	95	58	12	18
60	87	92	44	61	13	94	60	51	81	59	85	43	76	58	96	89	42	59	73	87	0	75	15	27	73	15	52	77	90
21	94	48	74	57	49	100	19	36	83	84	27	38	87	3	89	93	30	58	96	3	75	0	83	82	45	2	46	72	79
71	46	85	38	99	78	86	66	85	9	22	78	49	13	93	6	99	62	8	34	20	15	83	0	13	6	14	13	30	19
99	59	14	74	54	53	54	86	24	61	39	19	76	76	57	37	27	82	89	37	79	27	82	13	0	68	1	86	69	83
69	26	75	52	72	37	64	99	86	69	6	97	3	60	22	62	65	94	60	56	26	73	45	6	68	0	83	1	16	78
57	89	3	23	47	3	92	20	78	74	34	63	79	88	41	97	19	52	54	88	95	15	2	14	1	83	0	67	90	19
23	83	42	87	36	16	94	10	45	31	7	55	5	13	46	27	67	94	66	50	58	52	46	13	86	1	67	0	1	21
69	89	47	62	90	70	53	18	46	92	90	100	41	60	54	62	54	25	40	13	12	77	72	30	69	16	90	1	0	4
83	46	15	92	67	74	6	20	20	21	22	19	33	34	75	37	98	14	27	8	18	90	79	19	83	78	19	21	4	0
