5	0.0000000000	C
5	0.0000000000	P
5	0.0009999275	O
10	0.0000000000	C
10	0.0000000000	P
10	0.0009999275	O
15	0.0000000000	C
15	0.0000000000	P
15	0.0020000000	O
20	0.0000000000	C
20	0.0009958744	P
20	0.0020000000	O
25	0.0000000000	C
25	0.0019950000	P
25	0.0020000000	O
30	0.0000000000	C
30	0.0029980000	P
30	0.0020000000	O
35	0.0010000000	C
35	0.0069920000	P
35	0.0020000000	O
40	0.0020000000	C
40	0.0059990883	P
40	0.0020000935	O
45	0.0020000000	C
45	0.0080020000	P
45	0.0030000000	O
50	0.0020000000	C
50	0.0250020000	P
50	0.0039999485	O
5	0.0000000000	C
20	0.0000000000	C
5	0.0000000000	C
10	0.0000000000	C
5	0.0000000000	C
15	0.0000000000	C
15	0.0000000000	C
5	0.0000000000	C
