100
0	22	57	34	5	1	95	30	56	97	2	9	43	52	53	56	6	73	96	7	55	88	74	85	50	65	59	62	67	43	34	78	17	42	64	21	95	58	50	50	55	3	58	49	6	62	57	11	86	52	69	40	40	42	25	41	59	35	2	77	29	87	54	45	29	69	65	23	27	66	24	33	20	81	33	25	42	89	88	28	41	56	19	32	50	95	24	60	81	26	36	10	12	41	6	92	10	23	14	88
40	0	89	20	60	21	4	36	63	93	23	42	85	31	12	16	32	59	39	91	91	16	78	100	28	18	6	19	79	80	85	66	19	25	37	78	46	41	66	60	33	40	1	69	70	64	84	1	74	74	91	65	42	68	16	69	38	21	39	68	100	75	34	71	100	22	48	45	62	65	4	46	5	56	14	74	71	49	27	45	75	17	9	16	37	24	36	26	97	26	93	48	53	78	18	52	100	18	48	13
82	3	0	59	86	58	24	12	80	25	38	24	99	6	84	66	94	60	53	19	8	30	12	7	82	89	77	85	40	46	32	53	27	34	63	65	43	86	76	23	10	65	98	60	70	34	25	64	45	29	82	4	59	45	10	92	86	38	77	25	83	8	29	10	94	91	26	88	77	1	62	38	65	12	98	86	45	74	49	41	55	83	44	65	27	5	56	64	43	32	41	25	92	69	86	37	60	11	24	88
11	86	25	0	27	97	74	13	93	100	13	33	6	95	28	70	74	32	25	37	74	9	29	99	100	98	84	36	9	47	11	96	9	96	72	36	44	98	100	36	97	12	20	54	59	47	23	32	79	47	20	4	55	49	54	6	98	38	41	6	36	52	1	44	99	24	79	43	21	30	30	69	94	2	22	52	48	44	35	78	43	6	82	49	6	35	55	3	24	95	60	59	98	12	3	97	36	33	91	8
15	72	29	8	0	73	2	11	73	98	97	50	40	54	83	40	60	70	94	14	45	41	74	56	38	37	10	86	72	94	28	32	8	100	12	67	24	13	77	96	10	25	98	1	79	80	41	38	1	34	3	46	26	28	1	16	65	62	53	88	55	81	19	63	32	30	29	55	43	58	3	4	82	100	5	60	31	97	49	84	82	52	29	8	79	81	75	43	42	27	31	48	59	49	10	90	31	91	97	25
48	51	28	29	50	0	84	89	32	32	89	15	14	40	95	73	19	27	47	61	20	73	43	68	32	44	77	73	74	19	21	50	66	71	29	95	72	13	35	4	96	23	70	9	15	17	81	33	43	79	45	63	4	88	82	87	83	10	59	56	29	32	57	94	2	85	40	74	49	26	29	45	1	50	53	15	66	86	99	61	16	95	75	19	34	56	57	16	65	16	23	93	99	79	39	100	64	30	25	64
56	5	8	8	55	13	0	74	20	50	72	32	65	18	6	36	52	61	92	67	78	59	90	22	57	68	60	9	83	90	33	47	97	38	6	56	44	18	29	15	67	52	47	84	69	52	71	20	13	14	87	42	73	28	63	81	47	23	41	30	64	74	28	12	63	33	67	58	3	47	72	21	98	18	56	18	22	26	38	86	40	76	27	64	3	89	96	1	63	37	30	78	10	9	89	24	94	7	33	96
5	4	68	54	74	24	72	0	95	1	61	80	92	36	6	55	90	46	51	42	9	87	24	86	48	32	27	23	77	33	55	24	90	10	92	43	83	67	14	29	67	74	60	59	61	17	65	2	63	67	44	23	53	67	8	52	50	86	26	27	71	32	50	60	42	93	2	76	59	16	5	78	41	64	88	54	81	4	7	95	71	2	17	75	68	24	79	70	62	4	48	32	36	49	91	77	42	92	52	52
59	8	81	100	72	20	5	4	0	24	11	98	94	13	66	20	32	41	98	53	2	2	100	33	89	49	23	17	42	15	20	93	25	28	26	76	51	45	80	6	68	43	55	13	55	20	85	38	60	82	91	62	35	90	46	23	38	69	91	79	35	11	24	59	38	1	35	88	45	14	93	65	56	99	29	62	18	13	100	29	95	90	90	81	31	88	56	21	56	46	99	90	56	74	100	93	74	34	32	71
100	76	35	7	74	63	69	91	76	0	20	72	22	61	13	2	91	100	57	11	55	3	62	96	58	87	96	3	13	81	34	83	80	62	17	39	35	31	7	78	58	78	49	79	38	61	33	80	61	41	91	67	95	4	63	53	90	10	7	2	90	92	36	22	53	4	60	40	35	18	69	44	95	69	75	84	81	7	63	93	47	5	60	42	8	74	46	50	35	4	3	24	95	39	97	100	42	56	91	28
73	59	72	67	79	46	2	59	52	65	0	52	50	69	63	43	77	88	40	78	22	43	80	45	90	18	42	41	60	49	31	87	22	41	58	40	19	55	42	29	6	58	80	8	26	94	50	54	81	42	31	2	36	11	99	25	28	92	65	39	40	47	78	61	39	87	53	57	42	46	38	99	3	17	6	28	63	8	82	43	1	64	97	36	26	95	61	54	86	77	44	25	76	21	38	14	60	90	23	1
87	60	99	89	28	57	16	90	16	49	85	0	16	65	81	51	90	75	63	95	12	40	39	88	15	11	25	80	22	66	2	22	52	61	73	40	89	81	8	78	96	8	14	11	72	94	13	14	20	76	8	83	67	98	71	81	61	95	12	82	13	14	4	64	74	28	56	14	8	15	44	3	22	57	65	46	3	77	11	22	52	18	57	18	68	27	50	28	73	14	9	85	27	64	1	52	91	8	66	98
22	61	52	95	17	16	92	19	45	2	93	48	0	72	49	18	39	27	67	66	99	80	74	36	58	90	36	10	80	95	27	30	16	87	33	62	55	1	6	26	45	7	70	44	30	18	61	68	96	80	33	94	11	59	81	69	48	68	30	79	62	56	60	29	94	93	91	100	45	48	25	89	6	94	32	36	63	93	3	58	72	36	4	34	46	84	2	45	52	31	75	13	38	35	94	83	79	36	83	23
83	59	63	88	53	94	23	15	38	26	25	61	13	0	80	95	10	63	48	54	66	31	28	31	20	14	24	3	92	59	37	14	41	95	76	80	99	22	3	66	11	80	90	24	44	69	70	53	83	17	6	49	47	85	79	67	99	54	21	42	12	9	56	4	3	83	83	2	56	37	67	19	16	8	42	59	28	11	11	10	79	68	58	78	5	88	96	3	41	16	44	4	24	51	7	78	86	90	31	93
26	49	11	94	8	4	52	35	66	15	45	45	34	54	0	22	38	42	17	92	34	84	36	38	59	38	44	36	75	85	19	68	63	67	30	56	27	86	59	61	51	73	5	47	7	11	20	96	52	88	88	37	71	75	74	81	64	70	69	39	54	87	58	16	5	39	23	31	24	82	92	27	54	48	73	12	58	45	60	61	32	47	98	55	73	23	35	36	92	3	26	98	41	83	65	46	74	88	28	49
69	71	75	74	19	100	38	28	96	97	41	27	95	90	33	0	67	12	68	2	56	22	28	5	63	62	69	8	35	56	87	36	76	58	62	50	28	13	87	55	8	35	95	87	29	84	19	95	48	86	96	55	8	75	59	70	37	27	29	23	83	15	58	58	24	20	59	51	84	97	6	92	31	52	78	59	88	96	53	35	34	1	89	41	75	47	62	63	25	90	86	59	56	95	69	80	66	27	82	50
24	39	41	54	91	70	65	30	65	17	64	98	69	4	90	44	0	2	51	6	26	92	43	85	100	90	53	31	55	31	12	4	6	51	96	12	93	17	76	22	82	44	37	31	13	92	73	8	93	23	13	70	67	8	6	66	97	10	48	51	93	59	7	98	61	54	9	5	23	84	26	4	80	14	86	92	5	58	99	49	33	63	71	51	22	28	68	18	90	15	21	82	25	79	79	86	84	40	90	6
75	68	61	54	81	99	45	38	8	95	38	40	10	8	42	31	36	0	9	1	25	23	21	58	48	51	36	85	34	27	26	40	2	93	52	55	26	50	52	15	58	98	52	49	7	12	91	90	99	99	90	23	22	10	32	21	12	67	5	45	46	82	36	47	27	88	53	4	37	56	18	94	54	69	43	12	32	33	1	30	83	90	4	4	51	35	76	62	54	32	59	99	14	94	45	40	33	49	43	70
5	12	15	58	80	9	69	64	93	22	93	76	63	97	31	14	31	7	0	27	84	38	37	82	51	83	78	42	15	27	36	36	31	47	51	40	79	11	8	42	4	81	34	79	44	30	9	9	61	15	87	96	5	24	78	7	6	55	49	72	81	84	8	63	31	58	2	9	68	62	2	23	42	35	1	85	65	62	45	77	28	32	72	32	7	1	39	64	56	39	35	88	74	42	3	56	51	4	64	71
65	65	93	59	52	46	95	68	59	40	44	86	23	67	70	29	68	60	92	0	75	98	78	62	23	20	16	79	22	20	94	44	36	11	89	94	62	34	41	29	92	32	24	29	54	90	98	82	9	57	25	83	6	2	97	29	73	12	7	47	31	100	90	19	10	78	64	23	63	4	3	6	35	26	35	40	68	84	73	76	93	97	59	98	51	7	78	75	18	84	21	1	36	63	19	97	92	34	72	55
