15
0	97	7	32	34	98	39	30	34	34	31	42	4	27	92
97	0	23	83	84	49	35	32	88	58	71	65	53	82	35
7	23	0	44	68	91	27	19	34	79	73	78	40	80	44
32	83	44	0	91	99	39	4	26	68	70	78	66	6	75
34	84	68	91	0	91	78	15	68	72	87	16	61	52	33
98	49	91	99	91	0	19	7	74	84	3	94	96	1	39
39	35	27	39	78	19	0	81	49	93	22	56	34	37	71
30	32	19	4	15	7	81	0	74	91	62	11	80	96	67
34	88	34	26	68	74	49	74	0	19	77	24	5	20	28
34	58	79	68	72	84	93	91	19	0	77	83	28	52	9
31	71	73	70	87	3	22	62	77	77	0	30	31	18	82
42	65	78	78	16	94	56	11	24	83	30	0	90	86	64
4	53	40	66	61	96	34	80	5	28	31	90	0	37	49
27	82	80	6	52	1	37	96	20	52	18	86	37	0	18
92	35	44	75	33	39	71	67	28	9	82	64	49	18	0
