35
0	26	39	37	28	25	11	74	56	66	35	11	1	69	69	77	54	2	36	44	78	23	15	33	60	7	7	72	53	69	48	68	42	42	75
26	0	4	27	74	39	19	99	4	94	34	44	27	61	76	41	67	98	15	39	25	24	81	9	36	52	57	96	64	99	67	41	68	4	98
39	4	0	16	62	32	16	13	81	91	27	8	98	36	58	31	15	16	9	83	26	31	18	71	85	11	40	23	50	90	5	87	40	41	86
37	27	16	0	20	18	34	90	15	44	26	77	22	96	15	46	74	50	66	94	97	51	59	90	52	82	93	55	16	13	39	13	6	35	19
28	74	62	20	0	70	95	58	86	79	77	70	44	4	47	54	50	48	7	51	1	3	42	43	28	31	16	97	81	43	85	1	96	75	79
25	39	32	18	70	0	1	13	13	5	89	55	9	19	18	4	95	18	3	83	19	22	7	84	66	83	7	55	19	49	71	7	37	51	56
11	19	16	34	95	1	0	36	19	6	97	7	15	77	12	1	83	52	50	7	36	2	57	24	65	27	10	59	17	50	71	47	20	17	55
74	99	13	90	58	13	36	0	76	39	66	71	96	57	74	51	70	72	49	14	17	56	5	70	68	11	6	56	40	73	21	63	47	82	11
56	4	81	15	86	13	19	76	0	18	8	77	46	6	11	83	22	100	11	21	57	73	8	48	55	44	86	98	63	56	43	2	39	69	60
66	94	91	44	79	5	6	39	18	0	79	86	74	79	59	8	57	7	86	42	91	72	36	11	87	37	51	81	4	79	35	4	37	56	28
35	34	27	26	77	89	97	66	8	79	0	23	25	36	58	45	16	42	68	24	92	31	75	48	55	2	55	33	80	4	93	32	100	98	75
11	44	8	77	70	55	7	71	77	86	23	0	59	67	47	30	72	22	67	46	44	72	64	95	40	44	41	74	60	41	60	89	74	1	84
1	27	98	22	44	9	15	96	46	74	25	59	0	44	5	85	94	56	50	61	79	69	23	88	55	23	6	51	56	36	1	26	50	57	76
69	61	36	96	4	19	77	57	6	79	36	67	44	0	21	66	14	2	52	65	95	71	10	66	61	57	27	38	16	69	57	55	89	61	67
69	76	58	15	47	18	12	74	11	59	58	47	5	21	0	27	75	56	67	54	62	21	66	67	93	40	13	31	52	45	62	90	84	55	51
77	41	31	46	54	4	1	51	83	8	45	30	85	66	27	0	30	62	76	34	49	73	61	58	34	44	8	13	63	75	40	35	54	8	53
54	67	15	74	50	95	83	70	22	57	16	72	94	14	75	30	0	34	29	45	57	34	35	37	7	50	91	12	81	87	47	87	39	73	13
2	98	16	50	48	18	52	72	100	7	42	22	56	2	56	62	34	0	51	38	29	17	52	93	42	8	13	15	46	43	2	97	22	98	91
36	15	9	66	7	3	50	49	11	86	68	67	50	52	67	76	29	51	0	55	28	46	31	86	69	37	35	7	71	54	56	6	53	65	10
44	39	83	94	51	83	7	14	21	42	24	46	61	65	54	34	45	38	55	0	75	57	99	55	93	9	85	79	41	49	1	57	9	23	46
78	25	26	97	1	19	36	17	57	91	92	44	79	95	62	49	57	29	28	75	0	73	98	60	57	16	75	78	39	41	59	11	9	73	57
23	24	31	51	3	22	2	56	73	72	31	72	69	71	21	73	34	17	46	57	73	0	21	14	78	57	18	4	3	73	79	62	91	14	79
15	81	18	59	42	7	57	5	8	36	75	64	23	10	66	61	35	52	31	99	98	21	0	72	35	29	9	87	33	86	21	55	14	78	10
33	9	71	90	43	84	24	70	48	11	48	95	88	66	67	58	37	93	86	55	60	14	72	0	54	50	2	42	42	91	95	70	50	43	36
60	36	85	52	28	66	65	68	55	87	55	40	55	61	93	34	7	42	69	93	57	78	35	54	0	18	85	34	84	87	52	39	29	69	29
7	52	11	82	31	83	27	11	44	37	2	44	23	57	40	44	50	8	37	9	16	57	29	50	18	0	45	16	55	19	77	22	92	56	7
7	57	40	93	16	7	10	6	86	51	55	41	6	27	13	8	91	13	35	85	75	18	9	2	85	45	0	58	41	85	50	36	89	1	44
72	96	23	55	97	55	59	56	98	81	33	74	51	38	31	13	12	15	7	79	78	4	87	42	34	16	58	0	37	28	72	29	100	47	53
53	64	50	16	81	19	17	40	63	4	80	60	56	16	52	63	81	46	71	41	39	3	33	42	84	55	41	37	0	30	33	46	46	6	92
69	99	90	13	43	49	50	73	56	79	4	41	36	69	45	75	87	43	54	49	41	73	86	91	87	19	85	28	30	0	2	71	16	19	46
48	67	5	39	85	71	71	21	43	35	93	60	1	57	62	40	47	2	56	1	59	79	21	95	52	77	50	72	33	2	0	13	47	80	77
68	41	87	13	1	7	47	63	2	4	32	89	26	55	90	35	87	97	6	57	11	62	55	70	39	22	36	29	46	71	13	0	73	85	65
42	68	40	6	96	37	20	47	39	37	100	74	50	89	84	54	39	22	53	9	9	91	14	50	29	92	89	100	46	16	47	73	0	86	12
42	4	41	35	75	51	17	82	69	56	98	1	57	61	55	8	73	98	65	23	73	14	78	43	69	56	1	47	6	19	80	85	86	0	58
75	98	86	19	79	56	55	11	60	28	75	84	76	67	51	53	13	91	10	46	57	79	10	36	29	7	44	53	92	46	77	65	12	58	0
